eg_property_id,facet,review_idx,cos_anti,cos_listing,contradict_score,acquisition_date,review_snippet
110f01b8ae518a0ee41047bce5c22572988a435e10ead72dc1af793bba8ce0b0,check_in,1403,0.4833109676837921,0.6002452373504639,0.29010510444641113,2024-05-20,we check in after midnight and the front desk gentleman was very helpful
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,amenities_parking,1390,0.6172135472297668,0.4542931318283081,0.28039586544036865,2023-03-02,there was no parking upon arrival and i had to make parking arrangements off site
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,check_out,3916,0.49241870641708374,0.543681263923645,0.2677188217639923,2025-09-30,easy check in and out
db38b19b897dbece3e34919c662b3fd66d23b615395d11fb69264dd3a9b17723,children_extra_bed,396,0.5413451194763184,0.4926912188529968,0.26671597361564636,2023-10-22,"it was okay. the room service food was average and there was no kid's menu. the furniture was nice but rundown. it was mostly clean but minor issues here and there. the pool and hot tub had a lot of debris in them, including dead flies. the"
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,amenities_breakfast,1079,0.5530816316604614,0.47931310534477234,0.26509928703308105,2023-03-07,half used amenities. shower leaked. half ingredients on the menu missing for breakfast - had to go somewhere else for breakfast. comfortable enough but not much attention to detail
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,pet,1571,0.5639575123786926,0.46274101734161377,0.2609662711620331,2024-06-11,the check in was great... they are a pet friendly hotel but there is no area at all to walk your pet. not even anywhere close. the morning of check out we were interrogated about if i had paid the pet fee. to the point of harassment by morn
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,amenities_parking,1253,0.6171407699584961,0.4224487543106079,0.26071035861968994,2024-02-13,"very difficult to access, parking is tight, room was cramped and lacked amenities,"
7d027ef72c02eaa17af3c993fd5dba50d17b41a6280389a46c13c7e2c32a5b06,amenities_parking,851,0.591187596321106,0.4363517165184021,0.25796571373939514,2024-02-04,not much parking
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,amenities_breakfast,2330,0.6382555961608887,0.4026961028575897,0.25702303647994995,2023-03-02,it said breakfast included and it were not
ff26cdda236b233f7c481f0e896814075ac6bed335e162e0ff01d5491343f838,amenities_breakfast,519,0.5761088132858276,0.4420907497406006,0.2546923756599426,2023-10-24,"the expedia booking made it look like breakfast was included and when i got there it was not, and ironically there was nothing set up and no one eating breakfast either.  in the evening when i tried to order a beer and something eat at the "
